name,project_count,phone,address,website,min_down_payment,min_annual_rate,max_term,max_loan_amount,logo_url,slug
Kristal,7,*1544,,,10%-dən,11%-dən,20 ilədək,"300,000 AZN",https://cdn.abbhome.az/c9a25d791c0b3ebd948cf114ce3638acdb261741_bf0bcb1346.jpg,kristal-abseron-3
Ganja Park City,1,*2027,,,10%-dən,11%-dən,20 ilədək,"300,000 AZN",https://cdn.abbhome.az/thumbnail_New_Project_d1f96d7780_f408bb75ce.webp,ganja-park-city
MAYAK RESIDENCE,,*4554,,,10%-dən,11%-dən,20 ilədək,"300,000 AZN",https://cdn.abbhome.az/thumbnail_Mayak_logo_original_525fc83cbf_a714a20b4f.webp,mayak-residence
SEA BREEZE Resort,3,840,,,10%-dən,11%-dən,20 ilədək,"300,000 AZN",https://cdn.abbhome.az/Sea_Breeze_logo_a052c57192.webp,sea-breeze-resort
Melissa Group,1,*3939,,,10%-dən,11%-dən,20 ilədək,"300,000 AZN",https://cdn.abbhome.az/melisa_logo_3ca1835227.webp,Melissa-Group
Avant Group,1,*0241,,,10%-dən,11%-dən,20 ilədək,"300,000 AZN",https://cdn.abbhome.az/Avant_Group_Logo_1_0f56f0c66f.svg,avant-group
ALIANS,1,*2727,,,10%-dən,11%-dən,20 ilədək,"300,000 AZN",https://cdn.abbhome.az/alians_logo_9209519934.webp,alians
BLUE CITY,1,*6444,,,10%-dən,11%-dən,20 ilədək,"300,000 AZN",https://cdn.abbhome.az/blue_city_25fc0082de_7ffd8fa7a8.webp,Blue-City
