complex_name,complex_slug,complex_logo_url,region_id,latitude,longitude,partner_name,partner_address,phone_mobile1,phone_mobile2,phone_short,email,website,facebook,instagram,partner_logo_url,initial_payment_pct,mortgage_rate_pct,mortgage_period_years,min_loan_amount,max_loan_amount
Central Towers,737-central-towers,https://ipoteka.birbank.az/api/files/debffa5f-cdb5-47f6-80b2-53d150de0704.jpg,4,40.381187,49.822845,SR Construction CO MMC,"Yasamal rayonu, Balababa Məcidov küçəsi",0505551144,,1144,,www.srconstruction.az,www.facebook.com/SRinshaat/,www.instagram.com/srconstructionco/,https://ipoteka.birbank.az/api/files/33d53685-ab81-43a0-ad90-a848d03d584b.jpg,20.0,16.5,20,20000.0,500000.0
,,,,,,Dreamland,Heydər Əliyev Adına Hava Limanı Avtomobil Yolunun 22-Ci Kilometri,0994047474,,0124047474,,www.dreamland.az/,,,https://ipoteka.birbank.az/api/files/b37e928a-ceea-43e5-a2ba-4c7b17e0e60d.png,30.0,16.5,20,20000.0,500000.0
Cıdır Residence,270-cidir-residence,https://ipoteka.birbank.az/api/files/4c0aa957-532f-41a3-b90a-6a34f6672c1a.jpeg,21,40.41288,49.837605,Resant Real Estate MMC,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,*4445,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/380294d2-69c5-4d82-83d6-27ca126112ac.png,30.0,16.5,20,30000.0,500000.0
Əhmədli Residence,698-əhmedli-residence,https://ipoteka.birbank.az/api/files/85d4ff22-7367-4347-abc8-88fda6935b3a.jpeg,5,40.372337,49.864635,Resant Real Estate MMC,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,*4445,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/380294d2-69c5-4d82-83d6-27ca126112ac.png,30.0,16.5,20,30000.0,500000.0
Qış Parkı Residence,364-qis-parki-residence,https://ipoteka.birbank.az/api/files/317b914c-263c-4b5a-a5b9-e68045e91642.jpeg,3,40.37695,49.0,Resant Real Estate MMC,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,*4445,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/380294d2-69c5-4d82-83d6-27ca126112ac.png,30.0,16.5,20,30000.0,500000.0
28 Park Residence,811-28-park-residence,https://ipoteka.birbank.az/api/files/0349bc8d-4a19-4be6-a098-66e51dab8e74.png,3,40.383793,49.84666,Resant Real Estate MMC,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,*4445,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/380294d2-69c5-4d82-83d6-27ca126112ac.png,30.0,16.5,20,30000.0,500000.0
Nargilə Residence,425-nargile-residence,https://ipoteka.birbank.az/api/files/ff71b6fa-3009-4b94-8632-161cad1a3b13.jpeg,5,40.36904,49.943806,Resant Real Estate MMC,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,*4445,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/380294d2-69c5-4d82-83d6-27ca126112ac.png,30.0,16.5,20,30000.0,500000.0
Park Nərimanov Residence,268-park-nerimanov-residence,https://ipoteka.birbank.az/api/files/6e6d4535-cd31-4e0e-9bc8-b634f221ab81.jpeg,21,40.402596,49.875435,Resant Real Estate MMC,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,*4445,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/380294d2-69c5-4d82-83d6-27ca126112ac.png,30.0,16.5,20,30000.0,500000.0
Baku Galaxy Park Residence,743-baku-galaxy-park-residence,https://ipoteka.birbank.az/api/files/6fac43d8-28c0-408f-a51b-57c74868b3e7.jpeg,3,40.38411,49.855114,Resant Real Estate MMC,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,*4445,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/380294d2-69c5-4d82-83d6-27ca126112ac.png,30.0,16.5,20,30000.0,500000.0
Crown City Residence,343-crown-city-residence,https://ipoteka.birbank.az/api/files/9bc7b59d-0bae-4aa3-adf1-845cbf74d6e5.jpeg,21,40.41836,49.908813,Resant Real Estate MMC,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,*4445,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/380294d2-69c5-4d82-83d6-27ca126112ac.png,30.0,16.5,20,30000.0,500000.0
Park Residences,217-park-residences,https://ipoteka.birbank.az/api/files/09d70498-1dd5-4908-b8f1-b028d07c3ad2.png,22,40.59422,49.98991,Sea Breeze Real Estate,"Bakı şəh, Nardaran qəsəbəsi",0552251304,,012 311 02 67,,seabreeze.az,www.facebook.com/seabreeze.realestate,www.instagram.com/seabreeze.realestate/,https://ipoteka.birbank.az/api/files/529d2022-5578-4f2b-a76e-24eb81577dd8.png,20.0,16.5,20,20000.0,500000.0
Polo Residence,933-polo-residence,https://ipoteka.birbank.az/api/files/15284f28-abc8-42fe-acab-8cf726eda028.png,22,40.59422,49.98991,Sea Breeze Real Estate,"Bakı şəh, Nardaran qəsəbəsi",0552251304,,012 311 02 67,,seabreeze.az,www.facebook.com/seabreeze.realestate,www.instagram.com/seabreeze.realestate/,https://ipoteka.birbank.az/api/files/529d2022-5578-4f2b-a76e-24eb81577dd8.png,20.0,16.5,20,20000.0,500000.0
Sabah Residence,970-sabah-residence,https://ipoteka.birbank.az/api/files/d479664c-4d41-455e-9932-11b9750ca01e.jpg,1,40.351685,49.832085,Sabah Residence MTK,"Bakı şəhəri., Ziya Yusifzadə küçəsi 12 (Xanlar 10)",0502958181,,0123100511,,www.sabahresidence.az,www.facebook.com/sabahresidence/,www.instagram.com/sabahresidence/,https://ipoteka.birbank.az/api/files/c38ae2ca-67e7-4c41-a4b4-3745984c4d81.png,30.0,16.5,20,30000.0,500000.0
Ağ Saray Residence,868-ag-saray-residence,https://ipoteka.birbank.az/api/files/2a9c7935-a8ef-4565-b7d1-d01d6cf1a393.jpg,5,40.38456,49.882214,Ağ Saray Residence MTK,"Bakı Ağ Şəhər, Mərkəzi Bulvar küçəsi 6",0507370001,,,,www.agsaray.com,www.facebook.com/agsarayresidencebwc,,https://ipoteka.birbank.az/api/files/7770319f-bc61-46d2-ad79-cbdce622c8be.jpg,20.0,16.5,20,30000.0,500000.0
Baku City residence Khatai,057-baku-city-residence-khatai,https://ipoteka.birbank.az/api/files/be990320-143d-4f2c-b539-9a57ae4d272c.jpg,5,40.38677,49.875042,FDI International,"Bakı şəhəri.,  Ağ Şəhər - Nəcəfqulu Rəfiyev küçəsi 25",,,121,,www.khatai.bcr.az,www.facebook.com/bcrkhatai,www.instagram.com/bcr.khatai/,https://ipoteka.birbank.az/api/files/4b355604-b324-4c9d-b78b-9971b03ed074.jpg,20.0,16.5,20,30000.0,500000.0
K-Residence,655-k-residence,https://ipoteka.birbank.az/api/files/3ad659b2-cc43-454c-848b-fe8e30481f0b.jpeg,5,40.380936,49.848656,Knightsbridge MTK,"Bakı şəhəri., Xətai rayonu., 8 Noyabr prospekti 151",0515771234,,0125251234,,www.kresidence.az,,www.instagram.com/k.residencebaku/,https://ipoteka.birbank.az/api/files/9ba37829-e1be-41a2-b98f-8ca91758ded1.png,20.0,16.5,20,30000.0,500000.0
Rahatlığın Məkanı,878-rahatligin-mekani-,https://ipoteka.birbank.az/api/files/474ce7b2-61a1-4e19-9756-b8f91461500f.jpg,4,40.40555,49.80156,Rahatlığın Məkanı MMC,"Bakı şəh., Yasamal ray., Müzəffər Həsənov küç.,2",0503450999,,0125260999,,,,www.instagram.com/rahatligin_mekani_mmc/,https://ipoteka.birbank.az/api/files/15591487-0e86-4aff-a0cb-188292256c57.png,20.0,16.5,20,20000.0,500000.0
Royal Park,777-royal-park,https://ipoteka.birbank.az/api/files/020d3892-99eb-4b81-9d41-afe0e91b55b7.jpg,4,40.379486,49.79022,Realest MMC,"Bakı şəhəri., Yeni Yasamal., Kənar Dairəvi Yol 10",0512072115,,8822,,www.realest.az,www.facebook.com/realest.az/,www.instagram.com/royalpark_az/,https://ipoteka.birbank.az/api/files/temp,20.0,16.5,20,30000.0,500000.0
Anima MTK,377-anima-mtk,https://ipoteka.birbank.az/api/files/ebca2e78-76a9-4897-8535-95fe727461fe.png,3,40.39676,49.829357,Capital Park,"Bakı şəhəri., N.Yusifbəyli və A.Səhhət küçələrinin kəsişməsi",0704905533,0702427777,5533,,www.capitalcity.az,,www.instagram.com/capital_plaza/,https://ipoteka.birbank.az/api/files/f2bf4a42-008c-4106-966f-8630ddb9f88b.png,20.0,16.5,20,30000.0,500000.0
Kronşnep MMC,852-kronsnep-mmc,https://ipoteka.birbank.az/api/files/0f366b6b-3897-4e2b-abd6-0927df04f185.png,5,40.381805,49.875004,Capital Park,"Bakı şəhəri., N.Yusifbəyli və A.Səhhət küçələrinin kəsişməsi",0704905533,0702427777,5533,,www.capitalcity.az,,www.instagram.com/capital_plaza/,https://ipoteka.birbank.az/api/files/f2bf4a42-008c-4106-966f-8630ddb9f88b.png,20.0,16.5,20,30000.0,500000.0
Zumrud Residence,788-zumrud-residence,https://ipoteka.birbank.az/api/files/f0bd63f6-77a4-41ea-ae1a-de1e8aa4cca9.jpg,21,40.39876,49.860783,Cavid-2016 MMC,"Bakı şəhəri, B.Dadaşov küçəsi ilə Y.Bakuvi küçəsinin kəsişməsi",0502718414,,0125253838,,www.zumrudresidence.com,www.facebook.com/zumrudresidence/,www.instagram.com/zumrudresidence/,https://ipoteka.birbank.az/api/files/dfeb8c90-1853-46a7-b3ed-a988b1dbd9b1.jpg,20.0,16.5,20,30000.0,500000.0
